,0,1
0,Om kakor och hur vi använder dem,/om-webbplatsen/kakor
1,Allmänna reklamationsnämnden (publiceras i Konsumentverkets serie),https://publikationer.konsumentverket.se/sv/sok/kovfs
2,Arbetsförmedlingens författningssamling (AFFS),https://arbetsformedlingen.se/om-oss/var-verksamhet/styrning-och-resultat/forfattningssamling-AFFS
3,Arbetsgivarverkets författningssamling (AGVFS),https://www.arbetsgivarverket.se/avtal--skrifter/?isNewSearch=1&PublicationSearch.Text=*&PublicationSearch.&PublicationSearch.&PublicationSearch.&PublicationSearch.Type=F%C3%B6rfattningssamling+AGVFS
4,Arbetsmiljöverkets författningssamling (AFS),https://www.av.se/arbetsmiljoarbete-och-inspektioner/publikationer/foreskrifter/
5,Blekinge läns författningssamling (10FS),https://www.lansstyrelsen.se/blekinge/om-oss/om-lansstyrelsen-blekinge/forfattningar.html
6,Bokföringsnämndens allmänna råd (BFNAR),https://www.bfn.se/redovisningsregler/allmanna-rad/
7,Bolagsverkets författningssamling (BOLFS),https://www.bolagsverket.se/om/oss/verksamhet/styr/forfattningssamling
8,Boverkets författningssamling (BFS),https://www.boverket.se/sv/lag--ratt/forfattningssamling/
9,Centrala studiestödsnämndens författningssamling (CSNFS),https://www.csn.se/om-csn/lag-och-ratt/forfattningssamling
10,Dalarnas läns författningssamling (20FS),https://www.lansstyrelsen.se/dalarna/om-oss/om-lansstyrelsen-i-dalarnas-lan/forfattningar.html
11,Domstolsverkets författningssamling (DVFS),https://www.domstol.se/om-sveriges-domstolar/for-professionella-aktorer/dvfs/
12,E-hälsomyndighetens föreskrifter (i Gemensamma författningssamlingen HSLF-FS),https://www.kunskapsguiden.se/foreskrifter/Sidor/default.aspx
13,Elsäkerhetsverkets författningssamling (ELSÄK-FS),https://www.elsakerhetsverket.se/om-oss/lag-och-ratt/
14,Energimarknadsinspektionens författningssamling (EIFS),https://www.ei.se/sv/Publikationer/Foreskrifter/
15,Etikprövningsmyndighetens föreskrifter (publiceras i Vetenskapsrådets serie),https://www.vr.se/om-vetenskapsradet/organisation/styrande-dokument/vetenskapsradets-forfattningssamling.html
16,Fastighetsmäklarinspektionens föreskrifter (publiceras i Kammarkollegiets serie),https://fmi.se/det-har-ar-fmi/lag-och-ratt/
17,Finansinspektionens författningssamling (FFFS),https://www.fi.se/sv/vara-register/forteckning-fffs/
18,Folkhälsomyndighetens föreskrifter (se också Gemensamma författningssamlingen HSLF-FS),https://www.folkhalsomyndigheten.se/publikationer-och-material/foreskrifter-och-allmanna-rad/
