,iort,status,sorteringsnamn,sourceid,intressent_id
19,Norrhult,Tjänstgörande riksdagsledamot,"Karlsson,Mattias",727e2213-ac97-4ceb-bfab-f228debd8074,0831636664429
223,Helsingborg,Tidigare riksdagsledamot,"Pettersson,Hans",b7fa05d3-0c7d-469f-9c84-93710fa96794,0513164929896
230,Visby,Tidigare ersättare,"Nilsson,Barbro",3eb88bea-5426-460c-a52d-1c443b0baf45,0997984696398
231,Stockholm,Tidigare riksdagsledamot,"Andersson,Sten",bfff7061-4852-4277-91fc-67a9b3ca3d03,0160374603998
349,Hallsberg,Tidigare riksdagsledamot,"Karlsson,Hans",d7c31ed4-83e4-11d4-ae60-0050040c9b55,0654974921901
511,Stockaryd,Tidigare riksdagsledamot,"Petersson,Helene",a45ca940-844f-4e27-9098-50b758a1b3aa,0617957067613
560,Bengtsfors,Tidigare riksdagsledamot,"Karlsson,Ingvar",9b5d402d-c652-4915-9bd7-8d2d19550d6d,0108961111006
583,Stjärnhov,Tidigare riksdagsledamot,"Persson,Göran",d7c31be7-83e4-11d4-ae60-0050040c9b55,0825004049003
667,Simrishamn,Tidigare riksdagsledamot,"Persson,Göran",84cba193-d9f5-4d20-8edf-53f592947eba,0780069612618
1079,Göteborg,Tidigare riksdagsledamot,"Wigström,Cecilia",09c77f4f-3dc3-49d5-8c90-04a9c4171e4f,0992604658114
1336,Röstånga,Tidigare riksdagsledamot,"Petersson,Hans",6b6ad097-1a19-4831-8352-0e82c0348b3f,0783865315601
1354,Gamleby,Avliden  2011-04-19,"Andersson,Arne",19df3c41-0bd0-462a-a542-45895d973ae7,0404836900409
1446,Stockholm,Tidigare riksdagsledamot,"Eriksson,Dan",561a8d1a-dab3-4bc2-b6fe-f460152edecf,0125847791412
1521,Gislaved,Tidigare riksdagsledamot,"Andersson,Marianne",db72bcbc-f874-4f84-bde0-dd121fb93015,0590096877813
1535,Degerhamn,Tidigare riksdagsledamot,"Jönsson,Marianne",1ecaf939-b671-4d11-ad81-b3f941bef627,0396368639900
1800,Skellefteå,Tidigare riksdagsledamot,"Andersson,Jonas",c5e9daf0-868f-4c8e-9a69-671c7b22855a,0538494048717
1802,Luleå,Tjänstgörande riksdagsledamot,"Karlsson,Mattias",951f7039-b277-4696-ab49-7f0df0f39d1a,0522054204918
