id,name,Twitterkonto,Riksdagens person-id,Riksdagen person GUID,Svenskt Biografiskt Lexikon-ID,tillhör politiskt parti,party,district,chamber,start,end,occupation,gender,specifier,riksdagen_id,born,party_abbrev,twittername
eric_enlund_25338c,Eric Enlund,,0689652394598,63fe33f1-e6c7-4c4f-ad51-234294d93f5b,,Liberalerna,Folkpartiet,Västmanlands län,Enkammarriksdagen,1971,1973,lantbrukare,man,,689652394598.0,1918.0,L,
gunnar_lange_7364c6,Gunnar Lange,,0868028415991,ac0c80ab-b35c-4f94-bfd9-113379d7281a,10997,Socialdemokraterna,Socialdemokraterna,Malmöhus län,Enkammarriksdagen,1971,1973,statsråd,man,,868028415991.0,1909.0,S,
henry_allard_77823e,Henry Allard,,0595189953892,4dedb39d-706b-46aa-bcce-2e414eb8d289,,Socialdemokraterna,Socialdemokraterna,Örebro län,Enkammarriksdagen,1971,1973,f.d. försäljningschef,man,,595189953892.0,1911.0,S,
soren_norrby_743880,Sören Norrby,,0997350894105,7ed19aed-9c15-41f3-93b3-d2c7283ed89b,,Liberalerna,Folkpartiet,Stockholms län,Enkammarriksdagen,1971,1973,ingenjör,man,,997350894105.0,1937.0,L,
anna-greta_leijon_6a07a7,Anna-Greta Leijon,,0885771106404,f9cb1d20-1f9d-4b5c-b92d-9342953b5d00,,Socialdemokraterna,Socialdemokraterna,Stockholms län,Enkammarriksdagen,1974,1976,sekreterare,woman,,885771106404.0,1939.0,S,
eric_enlund_2fb868,Eric Enlund,,0689652394598,63fe33f1-e6c7-4c4f-ad51-234294d93f5b,,Liberalerna,Folkpartiet,Västmanlands län,Enkammarriksdagen,1974,1976,lantbrukare,man,,689652394598.0,1918.0,L,
gunnar_lange_0b3d32,Gunnar Lange,,0868028415991,ac0c80ab-b35c-4f94-bfd9-113379d7281a,10997,Socialdemokraterna,Socialdemokraterna,Malmöhus län,Enkammarriksdagen,1974,1976,förutvarande statsråd,man,,868028415991.0,1909.0,S,
henry_allard_8fc103,Henry Allard,,0595189953892,4dedb39d-706b-46aa-bcce-2e414eb8d289,,Socialdemokraterna,Socialdemokraterna,Örebro län,Enkammarriksdagen,1974,1976,f.d. försäljningschef,man,,595189953892.0,1911.0,S,
ingvar_carlsson_27888f,Ingvar Carlsson,,0906359551705,892e5447-fe1c-4b90-afab-3448ac24a524,,Socialdemokraterna,Socialdemokraterna,Stockholms län,Enkammarriksdagen,1974,1976,statsråd,man,,906359551705.0,1934.0,S,
olof_johansson_86bc92,Olof Johansson,,059100119006,446737c7-0953-41f9-b202-3cc82c99b980,,Centerpartiet,Centerpartiet,Stockholms kommun,Enkammarriksdagen,1974,1976,f.d. förbundsordförande,man,,59100119006.0,1937.0,C,
alf_wennerfors_af21e3,Alf Wennerfors,,0126076270500,0d140de0-7f24-44bc-b969-93eeba629cff,,Moderaterna,Moderata samlingspartiet,Stockholms län,Enkammarriksdagen,1976,1979,informationschef,man,,126076270500.0,1928.0,M,
