item Objekt,itemLabel,P1031 Jurdiskt utskott,P7277 utskottLabel,Sveriges Riksdags dokument P8433 Protokoll som är källa,,
http://www.wikidata.org/entity/Q98000533,Avveckling av hyresstoppet (1984/85:12),Mot. 1984/85:1,Bostadsutskottet,G8095,,
http://www.wikidata.org/entity/Q98000601,Omorganisation av regionmusiken och Rikskonserter (prop. 1984/  85:1),Mot. 1984/85:2,Kulturutskottet,G80912,,
http://www.wikidata.org/entity/Q98000644,Omorganisation av regionmusiken och Rikskonserter (prop. 1984/  85:1),Mot. 1984/85:3,Kulturutskottet,G80912,,
http://www.wikidata.org/entity/Q98000681,Omorganisation av regionmusiken och Rikskonserter (prop. 1984/  85:1) 2,Mot. 1984/85:4,Kulturutskottet,G80912,,
http://www.wikidata.org/entity/Q98000758,Omorganisation av regionmusiken och Rikskonserter (prop. 1984/  85:1),Mot. 1984/85:5,Kulturutskottet,G80912,,
http://www.wikidata.org/entity/Q98000799,Omorganisation av regionmusiken och Rikskonserter (prop. 1984/  85:1),Mot. 1984/85:6,Kulturutskottet,G80912,,
http://www.wikidata.org/entity/Q98000905,Omorganisation av regionmusiken och Rikskonserter (prop. 1984/85:1),Mot. 1984/85:7,Kulturutskottet,G80912,,
http://www.wikidata.org/entity/Q98000968,Omorganisation av regionmusiken och Rikskonserter (prop. 1984/  85:1),Mot. 1984/85:8,Kulturutskottet,G80912,,
http://www.wikidata.org/entity/Q98000994,Omorganisation av regionmusiken och Rikskonserter (prop. 1984/  85:1),Mot. 1984/85:9,Kulturutskottet,G80912,,
http://www.wikidata.org/entity/Q98001052,Omorganisation av regionmusiken och Rikskonserter (prop. 1984/  85:1),Mot. 1984/85:10,Kulturutskottet,G80912,,
https://www.wikidata.org/wiki/Q114957150,Omorganisation av regionmusiken och Rikskonserter (prop. 1984/ 85:1),Mot. 1984/85:11,Kulturutskottet,G80912,,
http://www.wikidata.org/entity/Q98001150,Omorganisation av regionmusiken och Rikskonserter (prop. 1984/  85:1),Mot. 1984/85:12,Kulturutskottet,G80912,,
http://www.wikidata.org/entity/Q98001222,Omorganisation av regionmusiken och Rikskonserter (prop. 1984/  85:1),Mot. 1984/85:13,Kulturutskottet,G80912,,
http://www.wikidata.org/entity/Q98001277,Omorganisation av regionmusiken och Rikskonserter (prop. 1984/  85:1),Mot. 1984/85:14,Kulturutskottet,G80912,,
http://www.wikidata.org/entity/Q98001371,Artificiella inseminationer (prop. 1984/85:2),Mot. 1984/85:15,Lagutskottet,G80912,,
http://www.wikidata.org/entity/Q98001381,Artificiella inseminationer (prop. 1984/85:2),Mot. 1984/85:16,Lagutskottet,G80912,,
http://www.wikidata.org/entity/Q98001436,Artificiella inseminationer (prop. 1984/85:2),Mot. 1984/85:17,Lagutskottet,G80912,,
http://www.wikidata.org/entity/Q98001500,Artificiella inseminationer (prop. 1984/85:2),Mot. 1984/85:18,Lagutskottet,G80912,,
http://www.wikidata.org/entity/Q98001571,Artificiella inseminationer (prop. 1984/85:2),Mot. 1984/85:19,Lagutskottet,G80912,,
http://www.wikidata.org/entity/Q98001588,Artificiella inseminationer (prop. 1984/85:2),Mot. 1984/85:20,Lagutskottet,G80912,,
http://www.wikidata.org/entity/Q98001654,Artificiella inseminationer (prop. 1984/85:2),Mot. 1984/85:21,Lagutskottet,G80912,,
http://www.wikidata.org/entity/Q98001717,Artificiella inseminationer (prop. 1984/85:2),Mot. 1984/85:22,Lagutskottet,G80912,,
http://www.wikidata.org/entity/Q98001758,Artificiella inseminationer (prop. 1984/85:2),Mot. 1984/85:23,Lagutskottet,G80912,,
http://www.wikidata.org/entity/Q98001808,Artificiella inseminationer (prop. 1984/85:2),Mot. 1984/85:24,Lagutskottet,G80912,,
http://www.wikidata.org/entity/Q98001812,Artificiella inseminationer (prop. 1984/85:2),Mot. 1984/85:25,Lagutskottet,G80912,,
http://www.wikidata.org/entity/Q98001864,Artificiella inseminationer (prop. 1984/85:2),Mot. 1984/85:26,Lagutskottet,G80912,,
http://www.wikidata.org/entity/Q98001920,Åtalsunderlåtelse (prop. 1984/85:3),Mot. 1984/85:27,Justitieutskottet,G80912,,
http://www.wikidata.org/entity/Q98001972,Åtalsunderlåtelse (prop. 1984/85:3),Mot. 1984/85:28,Justitieutskottet,G80912,,
http://www.wikidata.org/entity/Q98002001,Åtalsunderlåtelse (prop. 1984/85:3),Mot. 1984/85:29,Justitieutskottet,G80912,,
http://www.wikidata.org/entity/Q98002081,Åtalsunderlåtelse (prop. 1984/85:3),Mot. 1984/85:30,Justitieutskottet,G80912,,
http://www.wikidata.org/entity/Q98002096,Delegerad beslutanderätt i förmynderskapsärenden  (prop. 1984/85:4),Mot. 1984/85:31,Justitieutskottet,G80912,,
http://www.wikidata.org/entity/Q98002139,Utvecklad kommunal energiplanering m. m. (prop. 1984/85:5),Mot. 1984/85:32,Bostadsutskottet,G80912,,
http://www.wikidata.org/entity/Q98002197,Utvecklad kommunal energiplanering m. m. (prop. 1984/85:5),Mot. 1984/85:33,Bostadsutskottet,G80912,,
http://www.wikidata.org/entity/Q98002209,Utvecklad kommunal energiplanering m. m. (prop. 1984/85:5),Mot. 1984/85:34,Bostadsutskottet,G80912,,
http://www.wikidata.org/entity/Q98002264,Uvecklad kommunal energiplanering m. m. (prop. 1984/85:5),Mot. 1984/85:35,Bostadsutskottet,G80912,,
http://www.wikidata.org/entity/Q98002295,"Förslag till lag om ändring i lagen (1976:633) om kungörande av  lagar och andra författningar, m. m. (prop. 1984/85:6)",Mot. 1984/85:36,Trafikutskottet,G80912,,
http://www.wikidata.org/entity/Q98002326,"Förslag till lag om ändring i lagen (1976:633) om kungörande av  lagar och andra författningar, m. m. (prop. 1984/85:6)",Mot. 1984/85:37,Trafikutskottet,G80912,,
http://www.wikidata.org/entity/Q98002383,"Förslag till lag om ändring i lagen (1976:633) om kungörande av  lagar och andra författningar, m. m. (prop. 1984/85:6)",Mot. 1984/85:38,Trafikutskottet,G80912,,
http://www.wikidata.org/entity/Q98002420,"Förslag till lag om ändring i lagen (1976:633) om kungörande av  lagar och andra författningar, m. m. (prop. 1984/85:6)",Mot. 1984/85:39,Trafikutskottet,G80912,,
http://www.wikidata.org/entity/Q98002447,"Förslag till lag om ensamrätt till bärgning, m. m. (prop. 1984/85:7)",Mot. 1984/85:40,Lagutskottet,G80912,,
http://www.wikidata.org/entity/Q98002493,"Förslag till lag om ensamrätt till bärgning, m.m. (prop. 1984/85:7)",Mot. 1984/85:41,Lagutskottet,G80912,,
http://www.wikidata.org/entity/Q98002500,Lättnader i beskattningen av ideella föreningar (prop. 1984/85:8)  Inledning,Mot. 1984/85:42,Skatteutskottet,G80912,,
http://www.wikidata.org/entity/Q98002550,Lättnader i beskattningen av ideella föreningar (prop. 1984/85:8),Mot. 1984/85:43,Skatteutskottet,G80912,,
http://www.wikidata.org/entity/Q98002570,Lättnader i beskattningen av ideella föreningar (prop. 1984/85:8),Mot. 1984/85:44,Skatteutskottet,G80912,,
http://www.wikidata.org/entity/Q98002603,Basenheten vid 1987 års taxering (prop. 1984/85:9),Mot. 1984/85:45,Skatteutskottet,G80912,,
http://www.wikidata.org/entity/Q98002646,"Ändring i miljöskyddslagen (1969:387), m.m. (prop. 1984/85:10)",Mot. 1984/85:46,Jordbruksutskottet,G80912,,
http://www.wikidata.org/entity/Q98002654,"Ändring i miljöskyddslagen (1969:387), m. m. (prop. 1984/85:10)",Mot. 1984/85:47,Jordbruksutskottet,G80912,,
http://www.wikidata.org/entity/Q98002691,"Ändring i miljöskyddslagen (1969:387), m. m. (prop. 1984/85:10)",Mot. 1984/85:48,Jordbruksutskottet,G80912,,
http://www.wikidata.org/entity/Q98002725,Ändring av bestämmelserna om markvillkoret för statliga bostadslån  (prop. 1984/85:15),Mot. 1984/85:49,Bostadsutskottet,G80912,,
http://www.wikidata.org/entity/Q98002750,Justitieombudsmännens ämbetsberättelse (redoR. 1984/85:1),Mot. 1984/85:50,Konstitutionsutskottet,G80912,,
http://www.wikidata.org/entity/Q98002782,Basenheten vid 1987 års taxering (prop. 1984/85:9),Mot. 1984/85:51,Skatteutskottet,G80914,,
http://www.wikidata.org/entity/Q98002803,Basenheten vid 1987 års taxering (prop. 1984/85:9),Mot. 1984/85:52,Skatteutskottet,G80914,,
http://www.wikidata.org/entity/Q98002833,Ändring av bestämmelserna om markvillkoret för statliga bostadslån  (prop. 1984/85:15),Mot. 1984/85:53,Bostadsutskottet,G80914,,
http://www.wikidata.org/entity/Q98002857,Ändring av bestämmelserna om markvillkoret för statliga bostadslån  (prop. 1984/85:15),Mot. 1984/85:54,Bostadsutskottet,G80914,,
http://www.wikidata.org/entity/Q98002880,Ändring av bestämmelserna om markvillkoret för statliga bostadslån  (prop. 1984/85:15),Mot. 1984/85:55,Bostadsutskottet,G80914,,
http://www.wikidata.org/entity/Q98002909,Boende- och nyttoparkering på gatumark (prop. 1984/85:14),Mot. 1984/85:56,Trafikutskottet,G80914,,
http://www.wikidata.org/entity/Q98002935,Statlig fastighetsskatt (prop. 1984/85:18),Mot. 1984/85:57,Skatteutskottet,G80918,,
http://www.wikidata.org/entity/Q98002944,Statlig fastighetsskatt (prop. 1984/85:18),Mot. 1984/85:58,Skatteutskottet,G80918,,
http://www.wikidata.org/entity/Q98003004,Statlig fastighetsskatt (prop. 1984/85:18),Mot. 1984/85:59,Skatteutskottet,G80918,,
http://www.wikidata.org/entity/Q98003029,Statlig fastighetsskatt (prop. 1984/85:18),Mot. 1984/85:60,Skatteutskottet,G80918,,
http://www.wikidata.org/entity/Q98003058,Statlig fastighetsskatt (prop. 1984/85:18),Mot. 1984/85:61,Skatteutskottet,G80918,,
http://www.wikidata.org/entity/Q98003076,Statlig fastighetsskatt (prop. 1984/85:18),Mot. 1984/85:62,Skatteutskottet,G80918,,
http://www.wikidata.org/entity/Q98003091,Statlig fastighetsskatt (prop. 1984/85:18),Mot. 1984/85:63,Skatteutskottet,G80918,,
http://www.wikidata.org/entity/Q98003110,Vissa frågor rörande internationella adoptioner (prop. 1984/85:16),Mot. 1984/85:64,Socialutskottet,G80921,,
http://www.wikidata.org/entity/Q98003144,Vissa frågor rörande internationella adoptioner (prop. 1984/85:16),Mot. 1984/85:65,Socialutskottet,G80921,,
http://www.wikidata.org/entity/Q98003166,Vissa frågor rörande internationella adoptioner (prop. 1984/85:16),Mot. 1984/85:66,Socialutskottet,G80921,,
http://www.wikidata.org/entity/Q98003172,Vissa frågor rörande internationella adoptioner (prop. 1984/85:16),Mot. 1984/85:67,Socialutskottet,G80921,,
http://www.wikidata.org/entity/Q98003207,"Ändring i lagen (1951:649) om straff för vissa trafikbrott, m. m.  (trafiknykterhetsbrotten) (prop. 1984/85:21)",Mot. 1984/85:68,Justitieutskottet,G80921,,
http://www.wikidata.org/entity/Q98003225,"Ändring i lagen (1951:649) om straff för vissa trafikbrott, m. m.  (trafiknykterhetsbrotten) (prop. 1984/85:21)",Mot. 1984/85:69,Justitieutskottet,G80921,,
http://www.wikidata.org/entity/Q98003240,"Ändring i lagen (1951:649) om straff för vissa trafikbrott, m.m.  (trafiknykterhetsbrotten) (prop. 1984/85:21)",Mot. 1984/85:70,Justitieutskottet,G80921,,
http://www.wikidata.org/entity/Q98003254,"Ändring i lagen (1951:649) om straff för vissa trafikbrott, m. m.  (trafiknykterhetsbrotten) (prop. 1984/85:21)",Mot. 1984/85:71,Justitieutskottet,G80921,,
http://www.wikidata.org/entity/Q98003281,"Ändring i lagen (1951:649) om straff för vissa trafikbrott, m. m.  (trafiknykterhetsbrotten) (prop. 1984/85:21)",Mot. 1984/85:72,Justitieutskottet,G80921,,
http://www.wikidata.org/entity/Q98003298,"Ändring i lagen (1951:649) om straff för vissa trafikbrott, m. m.  (traflknykterhetsbrotten) (prop. 1984/85:21)",Mot. 1984/85:73,Justitieutskottet,G80921,,
http://www.wikidata.org/entity/Q98003313,En samordnad och intensifierad narkotikapolitik (prop. 1984/85:19),Mot. 1984/85:74,Justitieutskottet,G80922,,
http://www.wikidata.org/entity/Q98003326,En samordnad och intensifierad narkotikapolitik (prop. 1984/85:19),Mot. 1984/85:75,Socialutskottet,G80922,,
http://www.wikidata.org/entity/Q98003349,En samordnad och intensifierad narkotikapolitik (prop. 1984/85:19),Mot. 1984/85:76,Utbildningsutskottet,G80922,,
http://www.wikidata.org/entity/Q98003359,En samordnad och intensifierad narkotikapolitik (prop. 1984/85:19),Mot. 1984/85:77,Justitieutskottet,G80922,,
http://www.wikidata.org/entity/Q98003380,En samordnad och intensifierad narkotikapolitik (prop. 1984/85:19),Mot. 1984/85:78,Socialutskottet,G80922,,
http://www.wikidata.org/entity/Q98003396,En samordnad och intensifierad narkotikapolitik (prop. 1984/85:19),Mot. 1984/85:79,Socialutskottet,G80922,yrkande 1 till justitieutskottet,
http://www.wikidata.org/entity/Q98003399,En samordnad och intensifierad narkotikapolitik (prop. 1984/85:19),Mot. 1984/85:80,Justitieutskottet,G80922,,
https://www.wikidata.org/wiki/Q114958322,En samordnad och intensifierad narkotikapolitik (prop. 1984/85:19),Mot. 1984/85:81,Socialutskottet,G80922,,
http://www.wikidata.org/entity/Q98003437,En samordnad och intensifierad narkotikapolitik (prop. 1984/85:19),Mot. 1984/85:82,Skatteutskottet,G80922,,
http://www.wikidata.org/entity/Q98003444,En samordnad och intensifierad narkotikapolitik (prop. 1984/85:19),Mot. 1984/85:83,Justitieutskottet,G80922,yrkande 2 till socialutskottet,
http://www.wikidata.org/entity/Q98003464,En samordnad och intensifierad narkotikapolitik (prop. 1984/85:19),Mot. 1984/85:84,Socialutskottet,G80922,,
http://www.wikidata.org/entity/Q98003478,En samordnad och intensifierad narkotikapolitik (prop. 1984/85:19),Mot. 1984/85:85,Socialutskottet,G80922,,
http://www.wikidata.org/entity/Q98003486,En samordnad och intensifierad narkotikapolitik (prop. 1984/85:19),Mot. 1984/85:86,Socialutskottet,G80922,,
http://www.wikidata.org/entity/Q98003502,Avdrag för förskottsräntor samt vissa andra frågor rörande inkomstskatt och folkbokföring (prop. 1984/85:23),Mot. 1984/85:87,Skatteutskottet,G80922,,
http://www.wikidata.org/entity/Q98003510,Avdrag för förskottsräntor samt vissa andra frågor rörande inkomstskatt och folkbokföring (prop. 1984/85:23),Mot. 1984/85:88,Skatteutskottet,G80922,,
http://www.wikidata.org/entity/Q98003533,Avdrag för förskottsräntor samt vissa andra frågor rörande inkomstskatt och folkbokföring (prop. 1984/85:23),Mot. 1984/85:89,Skatteutskottet,G80922,,
http://www.wikidata.org/entity/Q98003549,Förlängd tillämpning av allmänna prisregleringslagen (1956:236)  (prop. 1984/85:26),Mot. 1984/85:90,Finansutskottet,G80922,,
http://www.wikidata.org/entity/Q98003552,Förlängd tillämpning av allmänna prisregleringslagen (1956:236)  (prop. 1984/85:26),Mot. 1984/85:91,Finansutskottet,G80922,,
http://www.wikidata.org/entity/Q98003574,Förlängd tillämpning av allmänna prisregleringslagen (1956:236)  (prop. 1984/85:26),Mot. 1984/85:92,Finansutskottet,G80922,,
http://www.wikidata.org/entity/Q98003585,Riktlinjer för det framtida arbetet mot ekonomisk brottslighet m. m.,Mot. 1984/85:93,Justitieutskottet,G80923,,
